Country,Year,Population,GDP (USD),Total Emissions,CO2 Agr,CO2 Buildings,CO2 Fuel Ex,CO2 Combust,CO2 Processes,CO2 Transport,CO2 Wast,CO2 Power ,CH4 Agr,CH4 Buildings,CH4 Fuel Ex,CH4 Combust,CH4 Processes,CH4 Transport,CH4 Wast,CH4 Power ,N2O Agr,N2O Buildings,N2O Fuel Ex,N2O Combust,N2O Processes,N2O Transport,N2O Wast,N2O Power ,F-Gases Agr,F-Gases Buildings,F-Gases Fuel Ex,F-Gases Combust,F-Gases Processes,F-Gases Transport,F-Gases Wast,F-Gases Power 
Afghanistan,1970,10752971,1748886596,17.33619212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,1971,11015857,1831108971,17.29279326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,1972,11286753,1595555476,15.34225073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,1973,11575305,1733333264,15.9660602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,1974,11869879,2155555498,17.27844284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,1975,12157386,2366666616,17.98425331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,1976,12425267,2555555567,17.98910685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,1977,12687301,2953333418,18.15341388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,1978,12938862,3300000109,17.70045932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,1979,12986369,3697940410,17.49476257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,1980,12486631,3641723322,17.52177991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,1981,11155195,3478787909,17.61438835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,1982,10088289,,17.55756614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,1983,9951449,,17.49282266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,1984,10243686,,16.43593559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,1985,10512221,,16.36949694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,1986,10448442,,14.64739149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,1987,10322758,,14.23515675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,1988,10383460,,14.39958716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,1989,10673168,,13.67069846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,1990,10694796,,13.77560449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,1991,10745167,,13.85465351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,1992,12057433,,12.90364914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,1993,14003760,,13.07113038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,1994,15455555,,13.228593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,1995,16418912,,13.6246765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,1996,17106595,,14.96940783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,1997,17788819,,16.06067866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,1998,18493132,,16.9107136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,1999,19262847,,17.93944796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,2000,19542982,,16.04541997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,2001,19688632,,14.38789463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,2002,21000256,3825701406,17.04471035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,2003,22645130,4520946849,17.73231774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,2004,23553551,5224896719,17.78945145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,2005,24411191,6203256497,18.19132436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,2006,25442944,6971758333,18.46103626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,2007,25903301,9747886105,19.61755452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,2008,26427199,10109296958,23.08980825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,2009,27385307,12416152648,26.31346123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,2010,28189672,15856668496,30.19093931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,2011,29249157,17805098367,34.47027741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
