Country,Year,Population,GDP (USD),Total Emissions,CO2 Agriculture,CO2 Buildings,CO2 Fuel Exploitation,CO2 Industrial Combustion,CO2 Power Industry,CO2 Processes,CO2 Transport,CO2 Waste,CH4 Agriculture,CH4 Buildings,CH4 Fuel Exploitation,CH4 Industrial Combustion,CH4 Power Industry,CH4 Processes,CH4 Transport,CH4 Waste ,F-Gases Processes,N2O Agriculture,N2O Buildings,N2O Fuel Exploitation,N2O Industrial Combustion,N2O Power Industry,N2O Processes,N2O Transport,N2O Waste
Afghanistan,1970,10752971,1748886596,17.33619212,0.029228567,0.795303718,0.337833724,0.101665923,0.057192839,0.169984053,0.242844183,,10.53136638,0.025080525,1.011586125,0.000120769,4.5838E-05,,0.001777283,1.520050835,0,2.437756672,0.003568963,0.0018248,0.000376481,0.000101272,0.008603961,0.001962795,0.057916414
Afghanistan,1971,11015857,1831108971,17.29279326,0.029228567,0.795303718,0.346136524,0.101665923,0.057192839,0.161470644,0.242844183,,10.47037561,0.025591686,1.012802415,0.000120769,4.58648E-05,,0.001940697,1.569642545,0,2.400888605,0.003630707,0.001856069,0.000376481,0.000101306,0.008643616,0.001969801,0.060964686
Afghanistan,1972,11286753,1595555476,15.34225073,0.029228567,0.606945632,0.417037733,0.094763417,0.117373449,0.163602081,0.264721488,,8.95220565,0.025936493,1.100326619,8.27627E-05,9.03235E-05,,0.002171466,1.611487551,0,1.874531068,0.003605228,0.002147696,0.000340615,0.000202656,0.009167083,0.002270271,0.06401288
Afghanistan,1973,11575305,1733333264,15.9660602,0.029228567,0.740246503,0.25441443,0.096219805,0.175701557,0.185633569,0.252438438,,9.33603146,0.026340119,1.069624397,8.55744E-05,0.000124228,,0.002186885,1.656952579,0,2.056200016,0.003812409,0.001539159,0.000350098,0.000290724,0.009418107,0.002160436,0.067061135
Afghanistan,1974,11869879,2155555498,17.27844284,0.039966661,0.97263499,0.417052426,0.105738661,0.207734018,0.201932938,0.245194199,,9.894792772,0.027547107,1.123974083,9.74008E-05,0.000149806,,0.001907425,1.700537435,0,2.249199288,0.004234625,0.002160897,0.000381719,0.000346901,0.01048284,0.002267311,0.070109334
Afghanistan,1975,12157386,2366666616,17.98425331,0.045309517,0.830045284,0.346155692,0.11166358,0.211630215,0.199704747,0.284368714,,10.50438635,0.02783179,1.142958996,0.000103618,0.00015125,,0.002120724,1.741285059,0,2.442325627,0.003900421,0.00190358,0.000410845,0.000351823,0.011159099,0.003328788,0.073157591
Afghanistan,1976,12425267,2555555567,17.98910685,0.050599993,0.63346308,0.333654089,0.116025471,0.242011888,0.259348571,0.25748836,,10.66439412,0.028107822,0.997180101,0.000105074,0.00017876,,0.002052575,1.792286413,0,2.515638583,0.003840622,0.001871054,0.000428701,0.000408983,0.011126132,0.002690666,0.07620579
Afghanistan,1977,12687301,2953333418,18.15341388,0.061442848,0.719082012,0.433753582,0.149615854,0.377274276,0.255816513,0.285443703,,10.42988209,0.028468495,0.999268644,0.000150616,0.000325251,,0.002284667,1.829083632,0,2.478626491,0.003789134,0.002244137,0.000534459,0.00068673,0.013362356,0.003024343,0.079254047
Afghanistan,1978,12938862,3300000109,17.70045932,0.058928563,0.579618873,0.321177803,0.159039439,0.27498706,0.237217958,0.303004273,,10.34953437,0.028914518,0.977328885,0.000147934,0.000180337,,0.002601827,1.858058261,0,2.44509579,0.003889366,0.001828126,0.000572953,0.000439111,0.012406279,0.003185295,0.082302304
Afghanistan,1979,12986369,3697940410,17.49476257,0.055471421,0.669366531,0.30451347,0.179988087,0.303000061,0.219897256,0.326943431,,10.11183353,0.029690169,0.935677199,0.000169375,0.000199511,,0.002819088,1.871322349,0,2.375010976,0.004005272,0.001777525,0.000635345,0.000485449,0.01309968,0.00350634,0.085350503
