Country,Year,Population,GDP (USD),Total Emissions,CO2 Agriculture,CO2 Buildings,CO2 Fuel Exploitation,CO2 Industrial Combustion,CO2 Power Industry,CO2 Processes,CO2 Transport,CO2 Waste,CH4 Agriculture,CH4 Buildings,CH4 Fuel Exploitation,CH4 Industrial Combustion,CH4 Power Industry,CH4 Processes,CH4 Transport,CH4 Waste ,F-Gases Processes,N2O Agriculture,N2O Buildings,N2O Fuel Exploitation,N2O Industrial Combustion,N2O Power Industry,N2O Processes,N2O Transport,N2O Waste,Emissions per Capita,EmissionsPerCapita
Afghanistan,2022,41128771,,29.11787902,0.046161495,0.601277528,0.100849744,1.689139044,1.527549603,0.133618409,1.577174837,,11.58968405,0.187432699,1.168972119,0.004919305,0.001304443,,0.009179077,6.051138351,0.83383889,3.110442256,0.02803483,0.003802718,0.007045884,0.004214072,0.050631937,0.019275797,0.372191937,7.079686144767127e-07,7.079686144767127e-07
Albania,2022,2777689,18916378861.0,7.983378894,0.064880163,0.75405164,0.163023078,0.947985351,,0.99849672,1.554916768,0.002855468,1.444240167,0.063538558,0.278765031,0.002268879,,0.003555991,0.004055116,0.636301454,0.219370324,0.638110401,0.023232919,0.000314781,0.003322229,,0.038625195,0.009818494,0.13165017,2.8741082583399366e-06,2.8741082583399366e-06
Aruba,2022,106445,3544707788.0,0.496682755,,0.044068147,,0.023690726,0.232537215,0.002133801,0.152634975,,,0.000622444,0.002111853,4.89479e-05,0.000136365,,0.000726869,0.031490838,,,0.000241197,2.52741e-05,7.81843e-05,0.000369087,0.003159797,0.001512031,0.001095003,4.666097562121283e-06,4.666097562121283e-06
Australia,2022,26005540,1690000000000.0,571.3821126,2.471969198,21.00651853,47.64410881,41.01026527,163.8550544,14.46256874,102.6963186,0.015739666,74.07801862,0.463933746,35.26676182,0.151775572,0.097068442,0.026880414,0.21178817,13.50602426,11.45494897,32.20368834,0.625535679,1.067988899,0.222831,0.669471264,5.523638581,1.684418636,0.964797041,2.197155346899161e-05,2.197155346899161e-05
Bahamas,2022,409984,12897400000.0,1.881552497,,0.139980084,3.23517e-05,0.075189804,0.738043101,0.007615933,0.484398448,0.000956364,0.006241901,0.003498018,0.009014247,0.000377944,0.001091195,,0.002306774,0.367697646,,0.009903205,0.000980422,0.000107895,0.000529028,0.001917074,0.022434996,0.004798543,0.004437526,4.589331527571807e-06,4.589331527571807e-06
Brazil,2022,215313498,1920100000000.0,1310.498944,12.91307604,41.67712579,26.7792683,80.41996012,50.15116716,43.97775013,210.5522053,0.299842259,446.9976082,3.96109198,42.62689977,2.053802033,0.376801272,0.155072898,0.717567993,172.8007197,16.24055679,139.2655426,2.577114066,0.736691441,2.072230036,0.492405398,5.787050233,3.385790962,3.481603476,6.0864690610339715e-06,6.0864690610339715e-06
Canada,2022,38929902,2140000000000.0,756.8101111,4.397509416,95.85747589,126.2717479,67.1086517,78.75552137,30.37443654,179.1774887,0.130111528,29.9618252,1.170064258,64.49850082,0.259856546,0.150050698,0.187146215,0.570218652,24.05240438,19.63250553,25.70468113,1.361331766,0.096918847,0.339761487,0.282942856,3.135757719,2.236843912,1.096358138,1.9440329212747568e-05,1.9440329212747568e-05
Cayman Islands,2022,68706,6844827379.0,0.34483672,,0.02976214,,0.015999917,0.157047788,0.001332739,0.103084512,,,9.64371e-05,1.60458e-05,1.81093e-05,0.000172668,,0.000490903,0.028116867,,,0.000134913,1.92032e-07,3.39396e-05,0.000329222,0.006511237,0.001021175,0.000667917,5.019019008529095e-06,5.019019008529095e-06
Chile,2022,19603733,301025000000.0,137.0112482,0.390475001,8.570748166,2.132521924,16.14525838,32.39173458,3.249208851,29.97009532,0.0087059,7.58488495,0.68396537,1.700231936,0.089663972,0.164932205,0.028268456,0.060895418,16.47281782,9.835651269,4.437104302,0.114788105,0.005600472,0.120307085,0.28734183,1.142498603,0.450693669,0.972854572,6.989038679520886e-06,6.989038679520886e-06
China,2022,1412175000,18000000000000.0,15684.62676,13.6824735,638.1511864,736.4507308,3027.101571,5896.781595,1478.483887,873.2072692,3.569714079,637.6017822,74.49666997,933.4299404,4.796202333,3.007423211,7.671549793,5.470581807,498.5856194,464.5358755,242.1043122,9.416261355,1.218330994,7.021499751,37.18960288,41.80332086,22.59970865,26.24965672,1.1106716065643422e-05,1.1106716065643422e-05
